name	x	y	z
Fp1	86.656200	29.206400	74.983300
AFp1	82.205500	18.238400	90.256100
AFz	71.633600	0.363100	105.706900
AF3	70.957000	30.937400	93.541600
AF7	64.434700	57.191800	69.109400
AFF5h	55.053400	51.643800	90.439600
AFF1h	57.822800	15.958000	112.811000
F1	43.383400	23.655000	118.059800
F3	39.373000	46.429900	105.214800
F5	44.029600	63.142000	86.513600
F7	47.889800	71.191000	60.166100
F9	40.732100	76.077700	25.139400
FFT9h	36.547700	78.499100	37.741200
FFT7h	32.334400	76.172300	70.113200
FFC5h	28.111700	60.876400	96.050000
FFC3h	23.573600	41.147300	115.732200
FFC1h	18.544100	15.819500	127.622300
FCz	0.882500	-0.641400	132.691200
FC1	8.160900	28.495000	127.130000
FC3	10.548900	55.214700	110.771400
FC5	17.423100	74.948500	82.196100
FT7	19.746500	81.790600	54.328100
FT9	24.996700	78.140500	22.830700
FTT9h	8.012400	82.339500	37.188400
FTT7h	5.696500	82.888400	62.121800
FCC5h	-0.424100	70.864300	94.097700
FCC3h	-6.601500	48.330500	119.718100
FCC1h	-12.821500	18.269400	132.255000
C1	-25.896500	32.820400	127.705500
C3	-19.601600	60.894200	108.666200
C5	-10.217500	77.251300	79.721700
T7	-4.572300	84.571800	45.834500
TTP7h	-24.164300	79.421400	59.875900
CCP5h	-34.615100	70.577200	89.166500
CCP3h	-40.488800	50.489700	113.103100
CCP1h	-49.603500	18.201500	124.729900
CP1	-61.512200	28.902200	114.167000
CP3	-49.589100	61.125600	98.292600
CP5	-42.411700	74.282400	71.083300
TP7	-35.534100	77.948700	41.560100
LISCM	n/a	n/a	n/a
TPP9h	-47.975900	74.573700	29.035700
TPP7h	-52.906800	72.713000	53.349000
CPP5h	-59.291100	62.756700	81.332800
CPP3h	-71.474000	40.213800	99.015300
CPP1h	-75.965000	17.324000	106.258700
P1	-83.983600	25.579200	90.191900
P3	-76.083400	50.032400	82.711100
P5	-67.704600	63.038800	63.897600
P7	-62.500300	71.352400	38.813100
PPO5h	-83.173500	50.373200	62.357400
PPO1h	-95.961400	19.967200	75.129400
POz	-102.805800	6.112100	60.649400
PO3	-97.060700	31.583700	58.874300
PO7	-84.042700	53.703900	33.323600
PPO9h	-70.265200	65.515400	21.715400
LSSCM	n/a	n/a	n/a
LSTrap	n/a	n/a	n/a
POO9h	-87.777800	51.650400	24.405100
O1	-100.325400	26.957600	33.866600
POO1	-106.404500	18.342200	45.135700
LITrap	n/a	n/a	n/a
OI1h	-101.450200	16.603300	16.492100
Iz	-98.887100	5.306200	7.020500
CGY-x	n/a	n/a	n/a
CGY-y	n/a	n/a	n/a
CGY-z	n/a	n/a	n/a
Cz	-33.716000	-3.043600	131.961100
C2	-34.315200	-34.487300	122.519800
C4	-31.557800	-62.345300	102.074100
C6	-22.531600	-78.717200	70.315500
T8	-12.570100	-81.210500	42.498100
FTT10h	6.568600	-78.845500	30.747200
FTT8h	-0.213500	-79.812300	56.253300
FCC6h	-10.281700	-72.548700	88.323700
FCC4h	-15.371500	-50.617900	111.923800
FCC2h	-18.969200	-17.720500	130.067600
FC2	-0.317600	-33.716700	122.853300
FC4	3.869300	-58.482200	103.383700
FC6	11.510300	-76.188200	75.823200
FT8	13.465400	-79.518400	49.837200
FT10	22.885800	-74.066700	15.793400
FFT10h	32.486000	-74.047300	33.646700
FFT8h	26.226800	-75.309000	65.413200
FFC6h	22.300800	-64.341200	93.080100
FFC4h	18.233200	-47.701000	111.632600
FFC2h	13.974700	-18.289400	126.696700
Fz	38.457400	-4.276800	123.964100
F2	37.223800	-28.328100	117.782500
F4	35.196500	-49.463300	102.514800
F6	39.576300	-64.606600	78.625600
F8	41.113800	-72.927500	49.848600
F10	40.737200	-71.696800	17.823100
AFF6h	58.916800	-52.231700	81.594700
AFF2h	53.519600	-20.378900	113.826800
AF4	64.086300	-36.651000	94.595400
AF8	63.271000	-54.501000	66.885600
Fp2	81.449400	-32.321100	74.277200
AFp2	77.824200	-20.352400	90.979700
Oz	-106.110000	2.198300	32.324300
OI2h	-105.598200	-6.219900	17.806000
RITrap	n/a	n/a	n/a
RISCM	n/a	n/a	n/a
POO10h	-93.952300	-41.032800	18.628200
O2	-100.715700	-23.996700	33.683800
POO2	-105.288300	-9.619800	46.938700
PO4	-101.840900	-26.700000	54.713800
PO8	-90.049100	-47.667900	29.628200
PPO10h	-77.565200	-60.158000	15.730300
RSSCM	n/a	n/a	n/a
PPO6h	-89.962600	-47.144700	52.901000
PPO2h	-96.393200	-14.165900	75.871300
Pz	-85.799300	-4.243900	96.296000
P2	-87.461800	-24.746700	88.707500
P4	-85.917700	-46.164700	71.032000
P6	-75.763900	-60.135200	55.216400
P8	-69.563500	-65.589000	32.518800
TPP10h	-59.241900	-70.510300	21.079400
TPP8h	-59.706400	-71.062600	50.946100
CPP6h	-69.772600	-62.113400	71.904600
CPP4h	-75.327200	-43.036300	92.167800
CPP2h	-79.898100	-14.705300	103.653100
CP2	-65.555200	-30.586800	110.761500
CP4	-60.552000	-58.826100	91.972100
CP6	-53.425900	-73.188100	64.112600
TP8	-45.373900	-75.523700	35.576800
RSTrap	n/a	n/a	n/a
TTP8h	-34.623200	-79.279200	50.691900
CCP6h	-44.765200	-70.373900	83.368200
CCP4h	-47.045600	-51.228400	106.635800
CCP2h	-51.393700	-19.052700	121.629800
CWR-x	n/a	n/a	n/a
CWR-y	n/a	n/a	n/a
CWR-z	n/a	n/a	n/a
N-Fp1	n/a	n/a	n/a
N-AFp1	n/a	n/a	n/a
N-AFz	n/a	n/a	n/a
N-AF3	n/a	n/a	n/a
N-AF7	n/a	n/a	n/a
N-AFF5h	n/a	n/a	n/a
N-AFF1h	n/a	n/a	n/a
N-F1	n/a	n/a	n/a
N-F3	n/a	n/a	n/a
N-F5	n/a	n/a	n/a
N-F7	n/a	n/a	n/a
N-FFT7h	n/a	n/a	n/a
N-FFC5h	n/a	n/a	n/a
N-FFC3h	n/a	n/a	n/a
N-FFC1h	n/a	n/a	n/a
N-FCz	n/a	n/a	n/a
N-FC1	n/a	n/a	n/a
N-FC3	n/a	n/a	n/a
N-FC5	n/a	n/a	n/a
N-FT7	n/a	n/a	n/a
N-FTT7h	n/a	n/a	n/a
N-FCC5h	n/a	n/a	n/a
N-FCC3h	n/a	n/a	n/a
N-FCC1h	n/a	n/a	n/a
N-C1	n/a	n/a	n/a
N-C3	n/a	n/a	n/a
N-C5	n/a	n/a	n/a
N-TTP7h	n/a	n/a	n/a
N-CCP5h	n/a	n/a	n/a
N-CCP3h	n/a	n/a	n/a
N-CCP1h	n/a	n/a	n/a
N-CP1	n/a	n/a	n/a
N-CP3	n/a	n/a	n/a
N-CP5	n/a	n/a	n/a
N-TP7	n/a	n/a	n/a
N-TPP9h	n/a	n/a	n/a
N-TPP7h	n/a	n/a	n/a
N-CPP5h	n/a	n/a	n/a
N-CPP3h	n/a	n/a	n/a
N-CPP1h	n/a	n/a	n/a
N-P1	n/a	n/a	n/a
N-P3	n/a	n/a	n/a
N-P5	n/a	n/a	n/a
N-P7	n/a	n/a	n/a
N-PPO5h	n/a	n/a	n/a
N-PPO1h	n/a	n/a	n/a
N-POz	n/a	n/a	n/a
N-PO3	n/a	n/a	n/a
N-PO7	n/a	n/a	n/a
N-PPO9h	n/a	n/a	n/a
N-POO9h	n/a	n/a	n/a
N-O1	n/a	n/a	n/a
N-POO1	n/a	n/a	n/a
N-OI1h	n/a	n/a	n/a
N-Iz	n/a	n/a	n/a
NGY-x	n/a	n/a	n/a
NGY-y	n/a	n/a	n/a
NGY-z	n/a	n/a	n/a
N-Cz	n/a	n/a	n/a
N-C2	n/a	n/a	n/a
N-C4	n/a	n/a	n/a
N-C6	n/a	n/a	n/a
N-FTT8h	n/a	n/a	n/a
N-FCC6h	n/a	n/a	n/a
N-FCC4h	n/a	n/a	n/a
N-FCC2h	n/a	n/a	n/a
N-FC2	n/a	n/a	n/a
N-FC4	n/a	n/a	n/a
N-FC6	n/a	n/a	n/a
N-FT8	n/a	n/a	n/a
N-FFT8h	n/a	n/a	n/a
N-FFC6h	n/a	n/a	n/a
N-FFC4h	n/a	n/a	n/a
N-FFC2h	n/a	n/a	n/a
N-Fz	n/a	n/a	n/a
N-F2	n/a	n/a	n/a
N-F4	n/a	n/a	n/a
N-F6	n/a	n/a	n/a
N-F8	n/a	n/a	n/a
N-AFF6h	n/a	n/a	n/a
N-AFF2h	n/a	n/a	n/a
N-AF4	n/a	n/a	n/a
N-AF8	n/a	n/a	n/a
N-Fp2	n/a	n/a	n/a
N-AFp2	n/a	n/a	n/a
N-Oz	n/a	n/a	n/a
N-OI2h	n/a	n/a	n/a
N-POO10h	n/a	n/a	n/a
N-O2	n/a	n/a	n/a
N-POO2	n/a	n/a	n/a
N-PO4	n/a	n/a	n/a
N-PO8	n/a	n/a	n/a
N-PPO10h	n/a	n/a	n/a
N-PPO6h	n/a	n/a	n/a
N-PPO2h	n/a	n/a	n/a
N-Pz	n/a	n/a	n/a
N-P2	n/a	n/a	n/a
N-P4	n/a	n/a	n/a
N-P6	n/a	n/a	n/a
N-P8	n/a	n/a	n/a
N-TPP10h	n/a	n/a	n/a
N-TPP8h	n/a	n/a	n/a
N-CPP6h	n/a	n/a	n/a
N-CPP4h	n/a	n/a	n/a
N-CPP2h	n/a	n/a	n/a
N-CP2	n/a	n/a	n/a
N-CP4	n/a	n/a	n/a
N-CP6	n/a	n/a	n/a
N-TP8	n/a	n/a	n/a
N-TTP8h	n/a	n/a	n/a
N-CCP6h	n/a	n/a	n/a
N-CCP4h	n/a	n/a	n/a
N-CCP2h	n/a	n/a	n/a
NWR-x	n/a	n/a	n/a
NWR-y	n/a	n/a	n/a
NWR-z	n/a	n/a	n/a
GRF_L	n/a	n/a	n/a
GRF_R	n/a	n/a	n/a
Back_acc_x	n/a	n/a	n/a
Back_acc_y	n/a	n/a	n/a
Back_acc_z	n/a	n/a	n/a
Back_gyro_x	n/a	n/a	n/a
Back_gyro_y	n/a	n/a	n/a
Back_gyro_z	n/a	n/a	n/a
Back_mag_x	n/a	n/a	n/a
Back_mag_y	n/a	n/a	n/a
Back_mag_z	n/a	n/a	n/a
Back_ori_s	n/a	n/a	n/a
Back_ori_x	n/a	n/a	n/a
Back_ori_y	n/a	n/a	n/a
Back_ori_z	n/a	n/a	n/a
