name	x	y	z
Fp1	64.534500	31.265500	102.359800
AFp1	53.348200	10.825200	110.128200
AFz	42.970900	-5.005800	116.610900
AF3	48.237800	27.026000	110.117600
AF7	47.896800	55.682700	87.446300
AFF5h	33.314200	49.434000	105.186600
AFF1h	31.026400	10.252800	122.534200
F1	13.733200	17.090500	126.937700
F3	16.695300	44.410300	115.071300
F5	19.658800	66.604800	99.973000
F7	30.523300	72.782500	73.998000
F9	33.564700	81.981300	37.962300
FFT9h	23.981500	80.487600	48.739500
FFT7h	13.843900	75.340200	81.328400
FFC5h	4.179700	59.505700	105.415000
FFC3h	-3.258500	38.134900	122.066900
FFC1h	-8.635000	6.175100	134.011100
FCz	-27.394600	-9.883200	131.905200
FC1	-25.592200	23.520200	130.413600
FC3	-15.228100	52.060000	112.468000
FC5	-6.244800	71.907700	87.305300
FT7	11.081000	80.401600	60.020400
FT9	18.758100	80.382100	30.003600
FTT9h	2.135000	82.427400	41.558200
FTT7h	-12.746100	80.731600	67.962300
FCC5h	-27.460000	63.414000	96.888800
FCC3h	-38.889500	40.345900	118.739900
FCC1h	-42.217100	6.055300	128.879200
C1	-58.653400	17.292300	119.655000
C3	-47.745800	52.614600	101.340200
C5	-33.531300	73.860600	73.561700
T7	-18.839000	83.367200	47.459200
TTP7h	-37.589700	76.889500	52.699100
CCP5h	-55.608700	61.492100	80.708500
CCP3h	-70.010100	38.857200	101.897500
CCP1h	-75.125300	5.988300	111.144700
CP1	-87.641800	20.977400	94.390100
CP3	-71.333900	49.666000	81.998100
CP5	-59.046800	67.427100	59.350000
TP7	-41.099000	77.322000	33.689500
LISCM	n/a	n/a	n/a
TPP9h	-50.967400	72.266500	17.208300
TPP7h	-62.672400	67.008700	43.127800
CPP5h	-76.988500	54.770100	59.054400
CPP3h	-92.453500	31.572600	77.764500
CPP1h	-97.561700	3.401600	79.178600
P1	-102.429700	13.628100	65.857300
P3	-91.609900	42.981200	54.779500
P5	-79.798700	55.560200	41.568700
P7	-66.683000	65.719400	25.365400
PPO5h	-91.742000	44.113200	32.125400
PPO1h	-104.371600	7.320900	46.896700
POz	-104.056900	2.920300	32.624300
PO3	-103.794100	21.895300	28.274800
PO7	-89.248800	44.482900	19.510600
PPO9h	-67.332500	60.735400	3.112900
LSSCM	n/a	n/a	n/a
LSTrap	n/a	n/a	n/a
POO9h	-85.888200	47.257900	-0.719700
O1	-99.987800	19.586500	3.705400
POO1	-104.463500	16.257600	15.675400
LITrap	n/a	n/a	n/a
OI1h	-96.903000	13.288800	-15.520300
Iz	-95.060600	5.829700	-25.967400
CGY-x	n/a	n/a	n/a
CGY-y	n/a	n/a	n/a
CGY-z	n/a	n/a	n/a
Cz	-63.145700	-11.054300	118.609900
C2	-55.350200	-42.456200	111.772400
C4	-43.644300	-68.943000	87.060100
C6	-28.517000	-81.567700	54.844500
T8	-16.809800	-88.789500	29.892000
FTT10h	5.720400	-85.439000	24.319000
FTT8h	-6.930000	-86.735300	49.797200
FCC6h	-19.466100	-77.712000	75.193200
FCC4h	-30.271600	-59.341200	104.592000
FCC2h	-45.683400	-30.167900	120.655400
FC2	-26.103500	-43.622300	120.358400
FC4	-13.736000	-69.608600	97.114500
FC6	-0.664400	-82.164300	69.833500
FT8	14.465200	-85.578300	43.399000
FT10	22.628100	-81.659800	12.114800
FFT10h	29.646300	-80.951500	32.171200
FFT8h	16.382600	-82.710100	62.080600
