name	x	y	z
Fp1	109.670400	32.422800	83.710400
AFp1	102.808700	21.130200	100.615200
AFz	90.559000	-2.782400	120.398300
AF3	88.826600	37.093800	108.723100
AF7	87.063700	67.881200	72.938200
AFF5h	72.078200	60.407200	103.587400
AFF1h	75.458500	16.805700	129.742000
F1	55.757200	23.383200	137.999600
F3	51.004800	55.552200	121.411200
F5	58.626000	73.019800	98.275400
F7	63.158400	83.571600	63.418200
F9	59.072300	73.421600	24.626600
FFT9h	48.401400	78.571800	39.477200
FFT7h	44.689300	88.336200	75.564200
FFC5h	37.520600	75.579600	108.824600
FFC3h	36.025000	46.342700	131.537500
FFC1h	33.436400	12.320000	149.025000
FCz	13.254400	-7.866700	152.914400
FC1	14.732200	30.450700	146.925800
FC3	18.470500	67.193500	123.211500
FC5	24.059600	87.869300	90.596900
FT7	33.391700	94.495800	55.713000
FT9	35.902000	81.977900	19.548700
FTT9h	21.240400	85.502200	34.367000
FTT7h	15.684300	96.751100	62.198100
FCC5h	5.655400	82.283600	104.625500
FCC3h	-3.833100	54.891500	136.018600
FCC1h	-4.220300	14.024700	152.226600
C1	-25.883300	29.155500	144.829400
C3	-19.467500	73.464800	118.526900
C5	-8.216100	89.415500	87.027800
T7	4.111500	95.155100	50.008300
TTP7h	-20.342700	95.871700	56.085800
CCP5h	-31.211100	81.288300	93.754800
CCP3h	-40.184000	55.364300	126.791000
CCP1h	-47.282900	15.925400	140.761700
CP1	-58.385400	31.741200	127.504700
CP3	-53.269600	65.858200	104.020200
CP5	-40.033500	87.058700	71.199200
TP7	-31.657700	94.422800	37.517400
LISCM	n/a	n/a	n/a
TPP9h	-40.462800	92.851300	21.581900
TPP7h	-51.741000	86.090100	54.424600
CPP5h	-59.948500	75.163900	79.799400
CPP3h	-67.960600	51.659300	106.721800
CPP1h	-78.815900	16.463100	116.662800
P1	-82.445800	27.439200	103.959700
P3	-77.079700	57.735900	87.683300
P5	-69.557300	74.036500	65.113200
P7	-63.451900	82.302000	35.183300
PPO5h	-88.230400	56.755300	59.087500
PPO1h	-101.948000	21.444000	77.993300
POz	-108.343200	0.465900	66.902300
PO3	-105.275700	36.752800	62.409500
PO7	-82.269200	62.711900	30.777500
PPO9h	-68.806400	75.774200	15.194200
LSSCM	n/a	n/a	n/a
LSTrap	n/a	n/a	n/a
POO9h	-94.769100	58.098500	17.941700
O1	-109.982400	33.743000	29.584300
POO1	-113.012500	17.545400	47.351200
LITrap	n/a	n/a	n/a
OI1h	-112.998900	26.327500	13.439000
Iz	-112.807300	2.013700	-1.456500
CGY-x	n/a	n/a	n/a
CGY-y	n/a	n/a	n/a
CGY-z	n/a	n/a	n/a
Cz	-27.919000	-4.998900	151.269200
C2	-26.317000	-42.520500	142.626000
C4	-22.161200	-79.490800	113.917100
C6	-14.537700	-100.113800	80.862500
T8	-5.406600	-95.009700	42.841500
FTT10h	11.497200	-93.063700	30.938500
FTT8h	7.194200	-104.895400	60.973700
FCC6h	2.088300	-95.267500	96.654200
FCC4h	-0.650200	-61.416000	133.241100
FCC2h	-5.166100	-22.840600	151.593200
FC2	16.933000	-43.187900	142.018700
FC4	17.729400	-75.894800	121.153200
FC6	22.880800	-99.329000	80.969200
FT8	22.707900	-104.816300	49.879200
FT10	27.382900	-87.495500	16.140500
FFT10h	39.720800	-87.029200	31.881700
FFT8h	38.930200	-99.958000	70.174300
FFC6h	36.869300	-87.786500	102.513100
FFC4h	36.522700	-60.318900	128.036200
FFC2h	35.164900	-25.090900	145.386500
Fz	54.620100	-10.251500	141.502600
F2	53.956200	-41.818700	131.874500
F4	55.453200	-66.486600	113.033300
F6	59.195600	-84.628700	86.803700
F8	57.998600	-94.215600	51.509600
F10	51.639000	-77.370400	20.415900
AFF6h	76.466100	-70.622300	90.776600
AFF2h	74.001900	-29.819000	127.687300
AF4	85.557300	-45.931600	108.220300
AF8	86.929600	-73.884800	66.737800
Fp2	104.881200	-41.124000	82.290500
AFp2	100.245600	-25.182300	104.212500
Oz	-118.439300	3.935500	26.265000
OI2h	-116.511100	-9.862300	12.543800
RITrap	n/a	n/a	n/a
RISCM	n/a	n/a	n/a
POO10h	-103.828700	-46.857600	13.094600
O2	-112.974600	-27.887400	27.123100
POO2	-115.303300	-17.971000	44.878700
PO4	-108.302800	-37.752900	58.143100
PO8	-99.660400	-49.502700	29.412200
PPO10h	-85.006700	-74.300700	9.576600
RSSCM	n/a	n/a	n/a
PPO6h	-96.666900	-53.319700	53.121300
PPO2h	-104.967000	-17.666200	80.237000
Pz	-90.882600	-0.748800	103.503500
P2	-90.883700	-33.381800	97.843900
P4	-87.029100	-54.651100	82.675300
P6	-79.918800	-75.101200	54.146100
P8	-74.249800	-81.764500	32.286400
TPP10h	-56.566000	-90.039000	12.864400
TPP8h	-62.454700	-86.528000	47.147000
CPP6h	-72.052700	-75.167800	75.732900
CPP4h	-72.089100	-53.668500	102.776700
CPP2h	-78.382500	-15.241300	115.352800
CP2	-62.098100	-40.397100	124.346000
CP4	-55.712700	-72.838800	101.570900
CP6	-51.839800	-85.187000	67.872800
TP8	-44.646200	-95.327400	34.142200
RSTrap	n/a	n/a	n/a
TTP8h	-33.963400	-99.755800	55.108200
CCP6h	-39.488500	-86.005300	87.691100
CCP4h	-43.399100	-62.850800	121.331200
CCP2h	-47.813800	-25.800000	139.325700
CWR-x	n/a	n/a	n/a
