name	x	y	z
Fp1	102.861100	33.362800	60.484700
AFp1	101.573100	17.524400	81.840800
AFz	101.432700	7.882200	90.505100
AF3	92.034900	39.120000	84.551000
AF7	81.137300	57.716500	58.487200
AFF5h	81.699300	52.406900	78.517700
AFF1h	90.677700	23.070900	103.060500
F1	73.044900	29.416400	114.811000
F3	69.533700	53.949900	93.443900
F5	64.506700	64.352800	76.331700
F7	55.653500	72.379400	50.426900
F9	44.079300	74.375300	16.711400
FFT9h	40.649800	74.737300	34.165300
FFT7h	46.488800	75.405600	64.273600
FFC5h	50.234800	66.223700	89.663000
FFC3h	55.020200	47.915400	112.849600
FFC1h	58.494500	18.563300	127.079000
FCz	45.994500	1.878800	136.096300
FC1	42.092600	30.799000	130.439200
FC3	38.581500	59.771000	107.767200
FC5	34.050500	75.225100	79.895600
FT7	33.898800	77.811900	45.948500
FT9	23.674200	73.835900	18.109300
FTT9h	12.141100	76.384900	30.752000
FTT7h	14.987000	79.487800	65.391800
FCC5h	18.319900	69.530000	98.925100
FCC3h	24.457600	49.727000	125.096000
FCC1h	28.647100	19.904000	141.085000
C1	8.522800	28.952800	141.257300
C3	4.988100	57.991000	118.192400
C5	4.780300	76.756200	77.780500
T7	2.033900	77.275900	43.613100
TTP7h	-15.218800	77.164500	65.641200
CCP5h	-14.332500	69.496000	95.601300
CCP3h	-10.976900	48.426000	130.033300
CCP1h	-6.001600	20.206300	145.267100
CP1	-23.362700	30.707500	139.064300
CP3	-26.136600	55.765300	116.360100
CP5	-29.056600	71.656400	82.098400
TP7	-29.629600	75.580300	51.456300
LISCM	n/a	n/a	n/a
TPP9h	-43.469500	70.288500	37.865100
TPP7h	-42.943200	68.569500	67.410200
CPP5h	-42.813200	60.228400	97.886500
CPP3h	-42.408100	40.548300	123.619300
CPP1h	-44.408600	11.399200	137.767900
P1	-57.957100	23.126400	123.421000
P3	-58.774100	43.886000	107.325600
P5	-57.508800	57.998200	83.112300
P7	-56.648000	63.991300	52.433100
PPO5h	-72.774000	42.509300	83.201400
PPO1h	-74.258700	10.119200	110.029500
POz	-82.753600	-9.249100	98.867500
PO3	-81.574500	23.610900	92.844700
PO7	-79.015800	44.166200	63.442900
PPO9h	-66.585100	58.610200	39.544300
LSSCM	n/a	n/a	n/a
LSTrap	n/a	n/a	n/a
POO9h	-85.720700	36.698100	52.654400
O1	-91.527800	20.797300	62.850000
POO1	-90.614900	5.463400	81.864600
LITrap	n/a	n/a	n/a
OI1h	-92.257900	0.666600	47.320000
Iz	-91.926600	-9.931300	34.100100
CGY-x	n/a	n/a	n/a
CGY-y	n/a	n/a	n/a
CGY-z	n/a	n/a	n/a
Cz	14.655600	-5.243300	147.581800
C2	16.993300	-36.493600	139.900700
C4	18.608200	-67.414300	115.332700
C6	15.806500	-84.121000	76.539600
T8	11.548000	-84.340800	44.255700
FTT10h	24.459500	-78.194900	24.337000
FTT8h	26.931100	-85.575800	59.842200
FCC6h	33.558000	-76.714900	92.726800
FCC4h	33.554900	-55.541600	118.792200
FCC2h	30.613100	-20.732400	140.665400
FC2	49.580000	-34.820300	127.173100
FC4	48.554200	-61.414200	105.154500
FC6	44.554600	-77.491300	75.151900
FT8	39.623200	-78.978500	37.614800
FT10	31.009300	-74.660900	11.025000
FFT10h	52.668800	-71.154000	24.198800
FFT8h	58.083300	-73.510300	55.362600
FFC6h	63.055600	-66.062800	86.375100
FFC4h	65.943900	-43.503200	111.248200
FFC2h	63.473300	-14.055100	126.824700
Fz	75.634800	1.533300	121.721500
F2	80.020000	-23.637800	113.174600
F4	80.770000	-47.537600	95.399200
F6	74.911500	-61.982000	69.164700
F8	64.479800	-67.694200	39.856900
F10	49.677900	-70.176900	10.594000
AFF6h	89.042300	-50.242100	75.807400
AFF2h	91.467700	-17.868800	104.774000
AF4	98.759200	-30.582700	83.494800
AF8	89.681900	-51.442300	54.105300
Fp2	104.018800	-28.976200	55.827700
AFp2	104.804000	-13.782400	79.533500
Oz	-91.348700	-8.785200	66.536700
OI2h	-90.715000	-18.698300	47.650800
RITrap	n/a	n/a	n/a
RISCM	n/a	n/a	n/a
POO10h	-80.251500	-51.441200	44.367000
O2	-82.317900	-41.477800	60.168900
POO2	-87.695600	-21.948100	82.682400
PO4	-76.938500	-43.087900	86.930500
PO8	-65.696700	-66.578300	56.539800
PPO10h	-58.957800	-69.849400	36.093200
RSSCM	n/a	n/a	n/a
PPO6h	-63.208400	-59.331000	82.037400
PPO2h	-69.548800	-28.156900	110.435200
Pz	-58.391300	-9.338800	129.362300
P2	-52.681400	-39.679800	122.620500
P4	-50.887000	-60.459000	103.480700
P6	-46.191600	-72.349600	78.852400
P8	-47.673300	-75.659200	51.229200
TPP10h	-32.542100	-81.398600	29.584000
TPP8h	-33.299900	-79.575300	66.276200
CPP6h	-34.138100	-72.350000	97.196600
CPP4h	-35.361500	-55.673500	122.057500
CPP2h	-39.272200	-25.671300	138.972500
