name	x	y	z
Fp1	88.928500	28.120200	71.405300
AFp1	83.881100	18.668800	87.018800
AFz	76.817200	0.493200	97.337900
AF3	70.325000	33.609200	89.660400
AF7	67.935200	55.387300	62.326000
AFF5h	60.376600	49.659900	82.650100
AFF1h	62.554000	14.670400	105.434600
F1	45.498900	21.654900	112.675100
F3	44.948900	45.990000	99.521600
F5	48.715600	59.185800	79.538800
F7	50.071600	68.226800	53.299600
F9	44.010200	70.508300	20.621500
FFT9h	39.726400	72.086800	29.516500
FFT7h	33.146400	71.874700	62.329100
FFC5h	29.853900	59.204600	90.862800
FFC3h	27.510600	41.595100	109.209000
FFC1h	25.025600	18.883200	120.364100
FCz	6.433700	-2.157200	127.633900
FC1	11.653600	26.645500	121.807300
FC3	11.688400	56.153000	102.401500
FC5	21.002300	72.152000	74.755400
FT7	24.779600	75.639700	44.802300
FT9	29.797900	69.047900	16.389600
FTT9h	15.395700	76.698300	32.043400
FTT7h	9.099600	77.343100	52.172800
FCC5h	0.318900	67.493800	88.948400
FCC3h	-8.008700	49.084700	113.188800
FCC1h	-8.342800	15.343200	128.454600
C1	-23.256000	29.039500	125.225000
C3	-14.147200	62.110900	100.975200
C5	-10.815100	75.814600	71.139300
T7	1.729400	80.227100	37.054600
TTP7h	-22.443900	78.429000	47.390100
CCP5h	-29.817000	69.442100	79.118000
CCP3h	-37.824100	47.933500	109.121000
CCP1h	-45.018900	16.116000	121.765800
CP1	-56.932000	28.149100	111.872100
CP3	-50.860400	58.421000	88.579300
CP5	-40.662200	70.426600	61.135400
TP7	-29.615600	76.918900	34.901200
LISCM	n/a	n/a	n/a
TPP9h	-45.122800	71.947100	17.937500
TPP7h	-47.670800	70.031100	44.277200
CPP5h	-57.450500	60.521100	70.488300
CPP3h	-66.912300	40.578500	93.682900
CPP1h	-73.367600	12.259000	103.134000
P1	-82.707100	22.626800	88.196300
P3	-74.700300	48.235500	74.485000
P5	-61.710200	60.957300	55.111400
P7	-56.334600	65.137900	29.686300
PPO5h	-80.921500	45.760200	51.294100
PPO1h	-96.193600	15.987800	65.675500
POz	-97.935800	-0.192900	54.113500
PO3	-91.948700	26.830500	49.220000
PO7	-81.454400	48.008900	27.102100
PPO9h	-61.102100	62.445100	15.423100
LSSCM	n/a	n/a	n/a
LSTrap	n/a	n/a	n/a
POO9h	-82.671100	34.508500	13.324100
O1	-90.165200	21.369600	20.562500
POO1	-96.869000	12.765200	38.654800
LITrap	n/a	n/a	n/a
OI1h	-87.224900	10.199000	9.751200
Iz	-84.440900	2.970500	-1.380300
CGY-x	n/a	n/a	n/a
CGY-y	n/a	n/a	n/a
CGY-z	n/a	n/a	n/a
Cz	-27.552200	-4.863500	129.518300
C2	-25.015700	-36.085600	123.572200
C4	-19.815700	-64.276400	99.447800
C6	-9.548600	-77.823800	67.451100
T8	-1.632300	-81.279200	38.885400
FTT10h	18.732100	-75.465600	29.085400
FTT8h	8.956500	-79.341400	51.877300
FCC6h	2.993400	-73.015400	81.264300
FCC4h	-4.885100	-52.921100	111.229700
FCC2h	-11.056300	-19.875400	128.781900
FC2	8.653000	-35.225000	120.798800
FC4	13.677300	-59.451800	99.466400
FC6	19.754600	-73.727000	71.108800
FT8	23.929100	-76.061800	42.318900
FT10	32.112300	-68.810700	17.342700
FFT10h	37.323300	-71.851600	27.255300
FFT8h	34.839000	-73.122500	60.150500
FFC6h	30.672300	-63.760500	85.357800
FFC4h	28.384300	-46.263300	106.373400
FFC2h	25.913000	-18.987600	121.123500
Fz	44.910000	-5.082800	115.808700
F2	40.688300	-27.696800	112.207000
F4	49.005800	-48.286700	95.319900
F6	49.644700	-59.695700	75.606100
F8	47.120100	-68.454200	43.148500
F10	46.809600	-67.329100	16.533500
AFF6h	61.610000	-51.246200	77.002100
AFF2h	58.152500	-20.400100	106.112800
AF4	70.077200	-35.165300	89.548700
AF8	69.898300	-54.623100	56.188500
Fp2	86.630400	-31.747800	68.218800
AFp2	82.441600	-20.570500	84.269600
Oz	-94.494100	2.284300	21.850300
OI2h	-90.507600	-19.226000	12.732400
RITrap	n/a	n/a	n/a
RISCM	n/a	n/a	n/a
POO10h	-82.096400	-48.839000	16.888100
O2	-91.743900	-24.967300	20.328200
POO2	-95.757600	-16.778500	35.910400
PO4	-92.913100	-34.103200	51.108700
PO8	-81.431600	-49.076300	23.568800
PPO10h	-62.936600	-63.745800	5.975100
RSSCM	n/a	n/a	n/a
PPO6h	-81.538800	-49.931600	45.147100
PPO2h	-92.389900	-21.461800	73.115800
Pz	-87.089600	-4.054000	88.241900
P2	-84.246400	-29.646200	85.590400
P4	-77.500700	-51.533000	66.784500
P6	-64.806700	-64.103200	51.463900
P8	-57.921800	-69.227800	23.057200
TPP10h	-44.788300	-71.705700	9.508700
TPP8h	-47.117600	-73.162300	41.986500
CPP6h	-58.604200	-64.635100	70.001500
CPP4h	-65.614300	-50.053000	89.863000
CPP2h	-74.458500	-21.061700	100.754800
CP2	-58.006300	-38.106600	108.669300
CP4	-50.443200	-62.252100	89.292700
