name	x	y	z
Fp1	95.889900	23.826900	65.039900
AFp1	93.947800	13.627000	75.497500
AFz	87.293000	-3.087800	92.918700
AF3	83.431300	29.071100	83.186400
AF7	76.436100	54.961400	54.961200
AFF5h	72.271800	48.038300	77.590200
AFF1h	77.955200	14.386700	102.734100
F1	63.089800	20.985300	112.441900
F3	60.836400	43.826300	98.507000
F5	59.087700	58.749000	75.569700
F7	59.673100	68.104000	44.392200
F9	48.279300	74.534400	9.952900
FFT9h	44.989700	76.015000	22.956900
FFT7h	47.361000	70.782200	62.440400
FFC5h	45.236900	59.925300	88.720400
FFC3h	47.556200	38.071500	110.435800
FFC1h	44.098800	10.184500	125.538900
FCz	22.273200	-5.918700	133.147000
FC1	30.123400	23.456100	127.591700
FC3	29.274000	54.649400	106.184600
FC5	29.317400	72.769500	77.899700
FT7	36.149800	77.482700	45.359900
FT9	34.032000	77.947300	8.193500
FTT9h	17.779700	81.434600	23.323000
FTT7h	18.824900	81.753800	55.802300
FCC5h	15.826600	69.493600	92.802700
FCC3h	10.058700	45.804200	122.360100
FCC1h	10.710200	11.115700	136.610200
C1	-7.435400	26.906100	134.967500
C3	-5.052700	59.428200	112.409600
C5	3.481200	78.317900	77.366500
T7	4.693800	86.570200	39.168700
TTP7h	-15.355100	85.301200	59.954700
CCP5h	-21.403300	72.538600	90.811400
CCP3h	-26.032800	47.680700	123.288300
CCP1h	-28.860000	15.172400	135.919700
CP1	-44.033700	26.697600	127.846200
CP3	-40.203100	59.645100	106.210600
CP5	-33.555100	78.318600	74.155300
TP7	-23.896500	85.648500	44.214300
LISCM	n/a	n/a	n/a
TPP9h	-39.391100	83.139500	27.850800
TPP7h	-48.076900	78.120500	55.986000
CPP5h	-49.449600	67.424700	87.538500
CPP3h	-55.667800	45.842500	111.687400
CPP1h	-62.425800	17.933800	120.236900
P1	-72.399700	28.925900	108.352400
P3	-66.094700	54.230000	92.877400
P5	-58.723000	69.603900	70.166900
P7	-56.496900	77.562400	41.355000
PPO5h	-77.706800	57.008400	68.338600
PPO1h	-89.126500	20.268200	90.325800
POz	-99.844800	3.792000	75.576200
PO3	-92.149700	36.226600	70.364700
PO7	-81.322700	56.956400	40.393100
PPO9h	-66.192500	71.735100	27.315000
LSSCM	n/a	n/a	n/a
LSTrap	n/a	n/a	n/a
POO9h	-86.158400	53.391900	33.908500
O1	-97.613500	31.912200	42.791800
POO1	-101.606100	19.922000	58.222500
LITrap	n/a	n/a	n/a
OI1h	-100.954800	24.470400	31.885900
Iz	-102.808200	9.585400	10.010300
CGY-x	n/a	n/a	n/a
CGY-y	n/a	n/a	n/a
CGY-z	n/a	n/a	n/a
Cz	-13.782000	-8.608800	140.140900
C2	-10.176900	-40.427900	130.957900
C4	-14.138900	-69.832300	100.146000
C6	-8.051800	-83.868800	64.526400
T8	-3.054500	-88.811400	34.893900
FTT10h	8.594400	-81.098400	14.846000
FTT8h	4.667300	-85.988200	48.644200
FCC6h	5.721700	-76.480100	85.486400
FCC4h	5.871200	-59.572700	113.155400
FCC2h	4.953900	-21.894700	135.867200
FC2	23.628400	-39.094300	123.433100
FC4	23.302000	-65.470200	98.598100
FC6	21.531900	-80.627500	67.670200
FT8	20.739600	-83.118200	36.560400
FT10	17.247900	-76.520300	0.704500
FFT10h	31.451000	-78.254100	14.918400
FFT8h	35.022400	-78.774400	47.454200
FFC6h	38.481400	-71.089900	81.865800
FFC4h	41.717600	-52.215000	107.639400
FFC2h	42.334700	-23.348600	123.688500
Fz	60.150800	-11.454300	117.776900
