name	x	y	z
Fp1	104.238500	33.358100	55.644100
AFp1	107.660800	17.937800	68.186000
AFz	98.449900	1.287400	92.014600
AF3	88.159400	40.954100	81.111400
AF7	79.770500	63.493200	43.313900
AFF5h	78.616700	54.960300	70.502500
AFF1h	85.092100	17.308200	102.946700
F1	65.245300	30.043800	114.057500
F3	64.647900	53.893100	92.979400
F5	65.969400	65.776400	67.577600
F7	60.593100	74.417200	37.124600
F9	50.425800	64.797200	3.062500
FFT9h	41.587600	69.892700	17.272500
FFT7h	47.959700	77.570300	52.943800
FFC5h	46.227700	71.718600	82.533600
FFC3h	48.142500	54.121600	109.002300
FFC1h	49.206800	13.980500	128.769600
FCz	32.632800	-1.591500	138.251700
FC1	33.423000	34.527000	130.084600
FC3	31.327200	66.628700	103.736800
FC5	33.023300	82.944200	68.478400
FT7	31.081500	84.556100	34.021700
FT9	28.597100	70.447800	1.184400
FTT9h	18.127600	74.305800	16.448000
FTT7h	18.750000	85.246000	53.326300
FCC5h	19.556900	79.389300	85.775200
FCC3h	15.535000	59.105300	120.100500
FCC1h	13.495900	18.296500	142.184400
C1	-6.439400	37.508500	138.607700
C3	-1.786200	72.724000	108.750200
C5	1.516400	86.836300	67.169000
T7	6.070400	77.908700	32.751100
TTP7h	-15.188000	88.500400	50.286400
CCP5h	-16.552800	80.674300	88.936100
CCP3h	-29.013300	57.534100	121.732500
CCP1h	-30.117100	18.116900	139.632500
CP1	-44.164100	34.631200	130.641800
CP3	-35.644900	70.809300	100.567200
CP5	-31.959700	80.722000	73.111500
TP7	-27.474000	86.289900	33.009300
LISCM	n/a	n/a	n/a
TPP9h	-39.431900	85.870100	16.102300
TPP7h	-45.935500	81.460000	55.378000
CPP5h	-50.639600	71.399700	83.755600
CPP3h	-59.487400	49.881300	110.533900
CPP1h	-64.365200	16.279100	122.175300
P1	-74.975500	28.408000	108.077100
P3	-71.891100	55.041600	87.810000
P5	-62.952900	71.247900	63.070200
P7	-57.575700	79.545600	39.687600
PPO5h	-84.718100	53.535600	60.677100
PPO1h	-91.890200	15.371400	88.435500
POz	-100.269300	0.569800	74.860500
PO3	-95.508600	32.828000	68.792800
PO7	-88.250500	57.831500	33.987400
PPO9h	-67.077100	75.903600	21.529300
LSSCM	n/a	n/a	n/a
LSTrap	n/a	n/a	n/a
POO9h	-97.143700	38.575700	21.283100
O1	-101.962400	25.839400	33.844200
POO1	-102.089200	14.003900	55.334100
LITrap	n/a	n/a	n/a
OI1h	-103.221600	13.428800	15.862400
Iz	-99.154500	-14.847100	3.380300
CGY-x	n/a	n/a	n/a
CGY-y	n/a	n/a	n/a
CGY-z	n/a	n/a	n/a
Cz	-10.947600	-1.593700	146.562000
C2	-7.841400	-43.577400	138.483200
C4	-1.247200	-81.238000	111.231900
C6	1.967200	-97.074800	69.705600
T8	9.483700	-84.237300	31.055600
FTT10h	16.073000	-81.040600	18.940300
FTT8h	21.358200	-94.799400	53.534100
FCC6h	19.651700	-87.972700	91.026000
FCC4h	15.423800	-65.200000	123.028100
FCC2h	11.220800	-25.096800	142.170800
FC2	32.721900	-41.568500	131.230800
FC4	37.389600	-71.730300	107.443000
FC6	35.599800	-89.784800	70.828600
FT8	32.362500	-89.730500	34.838900
FT10	26.565500	-74.343400	6.901600
FFT10h	41.177800	-74.110400	21.508000
FFT8h	47.615200	-86.456500	51.416000
FFC6h	51.796300	-76.248900	89.171000
FFC4h	49.479800	-58.264200	113.158500
FFC2h	50.330600	-20.725800	127.876900
Fz	67.699600	-5.140800	120.389400
F2	64.436900	-34.072700	117.260400
F4	69.941900	-59.341400	92.661000
F6	64.700800	-74.970000	66.991000
F8	60.702200	-80.061800	39.164100
F10	48.925600	-68.248500	5.567200
AFF6h	81.990700	-61.619800	67.877000
AFF2h	84.259100	-27.122200	102.759600
AF4	91.802000	-40.344500	84.230000
AF8	88.997700	-59.824200	43.317500
Fp2	106.834900	-34.939300	50.597700
AFp2	104.274600	-23.134500	73.160200
Oz	-105.726600	3.931300	39.921400
OI2h	-102.501600	-20.530400	22.301300
RITrap	n/a	n/a	n/a
RISCM	n/a	n/a	n/a
POO10h	-89.874900	-47.909000	23.522700
O2	-98.954100	-31.657900	39.477500
POO2	-100.179900	-21.331900	55.871400
PO4	-94.073000	-36.372300	68.198300
PO8	-82.898700	-60.193000	34.219800
PPO10h	-65.765200	-74.467300	19.684400
RSSCM	n/a	n/a	n/a
PPO6h	-80.943200	-59.961000	61.871500
PPO2h	-87.485200	-24.528000	90.110600
Pz	-80.164700	-3.545900	108.630300
P2	-74.511000	-34.468400	105.345200
P4	-71.693800	-61.824500	86.219100
P6	-62.122200	-75.592500	64.285900
P8	-56.876900	-81.880600	37.213000
TPP10h	-39.429600	-87.626900	19.099000
TPP8h	-44.371300	-87.133800	54.408200
CPP6h	-51.637500	-76.971300	83.250500
CPP4h	-57.867200	-57.255100	109.833100
CPP2h	-63.038900	-20.537100	122.892300
CP2	-46.803300	-42.895600	127.604400
CP4	-36.659000	-74.613600	105.531500
CP6	-32.674200	-89.267400	71.317900
TP8	-29.515200	-91.882500	35.581700
RSTrap	n/a	n/a	n/a
TTP8h	-18.179500	-96.249900	54.120300
CCP6h	-18.826500	-87.025200	92.966000
CCP4h	-23.377600	-64.020200	123.079200
CCP2h	-29.196200	-18.505300	140.111900
CWR-x	n/a	n/a	n/a
CWR-y	n/a	n/a	n/a
CWR-z	n/a	n/a	n/a
N-Fp1	n/a	n/a	n/a
N-AFp1	n/a	n/a	n/a
N-AFz	n/a	n/a	n/a
N-AF3	n/a	n/a	n/a
N-AF7	n/a	n/a	n/a
N-AFF5h	n/a	n/a	n/a
N-AFF1h	n/a	n/a	n/a
N-F1	n/a	n/a	n/a
N-F3	n/a	n/a	n/a
N-F5	n/a	n/a	n/a
N-F7	n/a	n/a	n/a
N-FFT7h	n/a	n/a	n/a
N-FFC5h	n/a	n/a	n/a
N-FFC3h	n/a	n/a	n/a
N-FFC1h	n/a	n/a	n/a
N-FCz	n/a	n/a	n/a
N-FC1	n/a	n/a	n/a
N-FC3	n/a	n/a	n/a
N-FC5	n/a	n/a	n/a
N-FT7	n/a	n/a	n/a
N-FTT7h	n/a	n/a	n/a
N-FCC5h	n/a	n/a	n/a
N-FCC3h	n/a	n/a	n/a
N-FCC1h	n/a	n/a	n/a
N-C1	n/a	n/a	n/a
N-C3	n/a	n/a	n/a
N-C5	n/a	n/a	n/a
N-TTP7h	n/a	n/a	n/a
N-CCP5h	n/a	n/a	n/a
N-CCP3h	n/a	n/a	n/a
N-CCP1h	n/a	n/a	n/a
N-CP1	n/a	n/a	n/a
N-CP3	n/a	n/a	n/a
N-CP5	n/a	n/a	n/a
N-TP7	n/a	n/a	n/a
N-TPP9h	n/a	n/a	n/a
N-TPP7h	n/a	n/a	n/a
N-CPP5h	n/a	n/a	n/a
N-CPP3h	n/a	n/a	n/a
N-CPP1h	n/a	n/a	n/a
N-P1	n/a	n/a	n/a
N-P3	n/a	n/a	n/a
N-P5	n/a	n/a	n/a
N-P7	n/a	n/a	n/a
N-PPO5h	n/a	n/a	n/a
N-PPO1h	n/a	n/a	n/a
N-POz	n/a	n/a	n/a
N-PO3	n/a	n/a	n/a
N-PO7	n/a	n/a	n/a
N-PPO9h	n/a	n/a	n/a
N-POO9h	n/a	n/a	n/a
N-O1	n/a	n/a	n/a
N-POO1	n/a	n/a	n/a
N-OI1h	n/a	n/a	n/a
N-Iz	n/a	n/a	n/a
NGY-x	n/a	n/a	n/a
NGY-y	n/a	n/a	n/a
NGY-z	n/a	n/a	n/a
N-Cz	n/a	n/a	n/a
N-C2	n/a	n/a	n/a
N-C4	n/a	n/a	n/a
N-C6	n/a	n/a	n/a
N-FTT8h	n/a	n/a	n/a
N-FCC6h	n/a	n/a	n/a
N-FCC4h	n/a	n/a	n/a
N-FCC2h	n/a	n/a	n/a
N-FC2	n/a	n/a	n/a
N-FC4	n/a	n/a	n/a
N-FC6	n/a	n/a	n/a
N-FT8	n/a	n/a	n/a
N-FFT8h	n/a	n/a	n/a
N-FFC6h	n/a	n/a	n/a
N-FFC4h	n/a	n/a	n/a
N-FFC2h	n/a	n/a	n/a
N-Fz	n/a	n/a	n/a
N-F2	n/a	n/a	n/a
N-F4	n/a	n/a	n/a
N-F6	n/a	n/a	n/a
N-F8	n/a	n/a	n/a
N-AFF6h	n/a	n/a	n/a
N-AFF2h	n/a	n/a	n/a
N-AF4	n/a	n/a	n/a
N-AF8	n/a	n/a	n/a
N-Fp2	n/a	n/a	n/a
N-AFp2	n/a	n/a	n/a
N-Oz	n/a	n/a	n/a
N-OI2h	n/a	n/a	n/a
N-POO10h	n/a	n/a	n/a
N-O2	n/a	n/a	n/a
N-POO2	n/a	n/a	n/a
N-PO4	n/a	n/a	n/a
N-PO8	n/a	n/a	n/a
N-PPO10h	n/a	n/a	n/a
N-PPO6h	n/a	n/a	n/a
N-PPO2h	n/a	n/a	n/a
N-Pz	n/a	n/a	n/a
N-P2	n/a	n/a	n/a
N-P4	n/a	n/a	n/a
N-P6	n/a	n/a	n/a
N-P8	n/a	n/a	n/a
N-TPP10h	n/a	n/a	n/a
N-TPP8h	n/a	n/a	n/a
N-CPP6h	n/a	n/a	n/a
N-CPP4h	n/a	n/a	n/a
N-CPP2h	n/a	n/a	n/a
N-CP2	n/a	n/a	n/a
N-CP4	n/a	n/a	n/a
N-CP6	n/a	n/a	n/a
N-TP8	n/a	n/a	n/a
N-TTP8h	n/a	n/a	n/a
N-CCP6h	n/a	n/a	n/a
N-CCP4h	n/a	n/a	n/a
N-CCP2h	n/a	n/a	n/a
NWR-x	n/a	n/a	n/a
NWR-y	n/a	n/a	n/a
NWR-z	n/a	n/a	n/a
GRF_L	n/a	n/a	n/a
GRF_R	n/a	n/a	n/a
Back_acc_x	n/a	n/a	n/a
Back_acc_y	n/a	n/a	n/a
Back_acc_z	n/a	n/a	n/a
Back_gyro_x	n/a	n/a	n/a
Back_gyro_y	n/a	n/a	n/a
Back_gyro_z	n/a	n/a	n/a
Back_mag_x	n/a	n/a	n/a
Back_mag_y	n/a	n/a	n/a
Back_mag_z	n/a	n/a	n/a
Back_ori_s	n/a	n/a	n/a
Back_ori_x	n/a	n/a	n/a
Back_ori_y	n/a	n/a	n/a
Back_ori_z	n/a	n/a	n/a
