name	x	y	z
Fp1	99.284400	36.359100	63.033100
AFp1	99.497000	25.751000	77.916800
AFz	95.091200	11.539200	96.613300
AF3	88.386700	43.108400	82.412700
AF7	73.708500	62.619000	54.033900
AFF5h	72.130900	59.792900	76.955800
AFF1h	83.260500	30.764300	102.423000
F1	68.192000	39.085300	110.001000
F3	60.384400	60.226600	94.600200
F5	57.149500	70.701700	73.001900
F7	54.204900	75.065000	45.073800
F9	48.780000	72.571100	6.816100
FFT9h	43.491500	77.903000	18.336400
FFT7h	48.201400	78.284100	53.664300
FFC5h	44.061500	72.244600	85.759300
FFC3h	49.359700	57.191700	106.936500
FFC1h	50.177800	26.405700	128.017500
FCz	35.319100	11.280700	138.877800
FC1	33.524500	39.763800	129.610400
FC3	31.258000	70.249600	102.166000
FC5	32.264300	81.398200	67.448200
FT7	27.987200	82.005100	42.461300
FT9	25.892000	75.443400	7.856800
FTT9h	14.913500	82.935100	22.114100
FTT7h	17.534100	85.963400	52.777200
FCC5h	15.278100	80.054000	90.643100
FCC3h	12.760300	61.201400	122.438200
FCC1h	21.483000	28.164200	139.299900
C1	-1.977900	41.934400	137.826700
C3	-2.926400	73.366100	110.482700
C5	-1.248100	85.046900	71.540100
T7	1.044100	85.421400	35.437700
TTP7h	-16.778500	83.776300	53.325000
CCP5h	-19.218100	77.517500	90.090300
CCP3h	-18.103400	60.659300	121.534700
CCP1h	-18.202200	28.217300	141.637400
CP1	-35.731400	35.483400	130.751900
CP3	-35.532500	64.473900	102.855200
CP5	-30.487000	76.497100	69.735000
TP7	-26.211100	79.028200	38.465900
LISCM	n/a	n/a	n/a
TPP9h	-48.086600	68.873400	31.493500
TPP7h	-45.628800	68.700600	53.996100
CPP5h	-45.847100	64.297600	85.767300
CPP3h	-49.460900	47.700700	110.953100
CPP1h	-50.434900	23.583400	123.641600
P1	-61.240700	28.651600	110.516400
P3	-60.735100	48.889800	94.260100
P5	-56.621100	59.652900	67.620900
P7	-54.582100	61.129000	39.593700
PPO5h	-71.347000	47.455400	70.437000
PPO1h	-73.701300	12.414200	96.019300
POz	-80.523100	-0.486800	86.373800
PO3	-79.462500	24.039000	74.260100
PO7	-73.619000	43.583000	46.810400
PPO9h	-61.920600	53.415700	29.582700
LSSCM	n/a	n/a	n/a
LSTrap	n/a	n/a	n/a
POO9h	-79.311000	33.447900	41.989100
O1	-86.023000	16.320800	53.510500
POO1	-87.205000	6.666900	66.886200
LITrap	n/a	n/a	n/a
OI1h	-89.587800	3.740100	43.077400
Iz	-88.716800	-10.753300	25.050000
CGY-x	n/a	n/a	n/a
CGY-y	n/a	n/a	n/a
CGY-z	n/a	n/a	n/a
Cz	1.933500	8.654300	147.248400
C2	2.608200	-23.250300	147.094200
C4	7.493500	-62.945200	128.430000
C6	7.461500	-86.339200	96.407400
T8	9.309600	-91.729700	60.099900
FTT10h	27.054100	-89.024600	38.350700
FTT8h	23.978700	-88.201900	75.597200
FCC6h	23.317600	-72.712400	111.856100
FCC4h	21.609100	-46.656000	133.258000
FCC2h	18.197300	-5.799200	145.614000
FC2	39.710800	-23.767400	135.619100
FC4	39.832100	-56.694800	117.916600
FC6	39.944500	-79.911900	87.788800
FT8	33.796300	-87.443300	59.769200
FT10	32.724100	-82.738700	22.830200
