name	x	y	z
Fp1	99.616700	31.076600	44.112600
AFp1	102.047100	18.884200	61.783700
AFz	99.737200	1.568000	78.476400
AF3	93.836400	31.852200	70.218800
AF7	83.241300	54.472500	46.272500
AFF5h	81.773400	53.478700	61.998600
AFF1h	90.877500	17.820800	88.498300
F1	75.347400	26.766900	104.086200
F3	71.621900	51.168700	86.215400
F5	68.144000	62.752500	69.162000
F7	57.578300	72.899600	39.262300
F9	45.065900	76.202600	15.100400
FFT9h	40.976700	77.612600	27.668200
FFT7h	51.231700	76.004500	54.004700
FFC5h	55.539200	63.652000	85.217100
FFC3h	61.353700	46.433700	101.494500
FFC1h	63.735700	16.732700	119.156800
FCz	51.888600	1.452600	130.279300
FC1	46.043500	32.924600	123.643500
FC3	43.491000	60.963600	101.117900
FC5	39.481800	78.431800	73.626900
FT7	37.763200	81.097600	43.881300
FT9	27.996400	77.960000	11.594400
FTT9h	21.134900	81.751700	27.701900
FTT7h	22.757800	84.571800	55.663100
FCC5h	24.901500	75.575100	93.766900
FCC3h	30.491000	51.614300	119.086200
FCC1h	35.417100	19.159000	135.983500
C1	15.907200	32.836000	137.295500
C3	10.756600	64.333400	114.936500
C5	6.214300	84.322600	81.837000
T7	8.259400	87.937000	49.685900
TTP7h	-9.017300	86.415600	64.089100
CCP5h	-8.149700	75.465800	99.735000
CCP3h	-4.325300	53.902800	126.754400
CCP1h	-3.196100	18.728300	141.887100
CP1	-21.149600	33.801500	133.493000
CP3	-22.143800	63.424400	112.397800
CP5	-23.100700	79.060000	82.760300
TP7	-23.062200	82.242200	51.034300
LISCM	n/a	n/a	n/a
TPP9h	-37.366500	76.415300	37.609900
TPP7h	-34.636100	75.265000	67.775500
CPP5h	-36.167200	65.805200	96.144900
CPP3h	-37.169800	47.507200	116.648700
CPP1h	-38.797200	15.748400	128.657700
P1	-49.750000	28.290100	115.515800
P3	-51.518000	50.408700	99.927300
P5	-47.799900	65.182800	77.440600
P7	-46.675600	71.813300	52.793300
PPO5h	-61.989400	48.634100	81.791800
PPO1h	-65.286700	16.257000	100.292800
POz	-72.038200	-6.666900	83.568200
PO3	-71.262300	26.060900	83.049200
PO7	-63.532900	54.935000	55.988600
PPO9h	-55.728000	64.168400	35.130800
LSSCM	n/a	n/a	n/a
LSTrap	n/a	n/a	n/a
POO9h	-72.214600	45.599800	41.768000
O1	-78.560700	27.428600	61.222200
POO1	-79.076800	15.601700	69.644900
LITrap	n/a	n/a	n/a
OI1h	-86.695400	10.644400	38.110000
Iz	-85.052900	-0.853400	21.173000
CGY-x	n/a	n/a	n/a
CGY-y	n/a	n/a	n/a
CGY-z	n/a	n/a	n/a
Cz	14.466900	-4.646200	142.740800
C2	19.539000	-32.772500	138.212700
C4	17.401600	-68.454800	112.059000
C6	14.869000	-87.527600	73.755900
T8	8.646000	-90.390800	43.400100
FTT10h	27.717100	-86.811900	25.161400
FTT8h	23.420500	-88.092200	54.309900
FCC6h	32.767900	-78.867500	91.311500
FCC4h	34.382300	-53.531800	118.320100
FCC2h	35.179400	-20.975100	136.034800
FC2	48.253500	-31.596200	124.791100
FC4	48.571000	-62.074300	101.362500
FC6	44.202800	-80.544600	73.308100
FT8	36.096400	-86.052900	42.796500
FT10	34.538200	-81.385800	11.583300
FFT10h	48.158600	-78.934600	21.749300
FFT8h	55.550100	-78.091400	51.017500
FFC6h	63.197100	-68.184400	81.380200
FFC4h	68.030300	-44.595300	102.401900
FFC2h	65.847600	-15.161900	119.196100
Fz	77.912800	-1.769900	110.015300
F2	78.523300	-27.955600	103.719500
F4	77.398800	-50.191500	87.754900
F6	78.284400	-62.836800	64.085000
F8	63.221700	-73.402900	35.848400
F10	51.629200	-75.792900	7.183500
AFF6h	87.281400	-52.390700	65.611500
AFF2h	92.038700	-18.115800	91.385100
AF4	97.466500	-29.934400	71.860000
AF8	90.164200	-52.275600	42.571700
Fp2	103.447200	-30.061000	42.728200
AFp2	104.321400	-13.374300	63.777200
Oz	-84.291600	-3.397000	56.387500
OI2h	-85.069400	-14.651500	42.960700
RITrap	n/a	n/a	n/a
RISCM	n/a	n/a	n/a
POO10h	-71.542200	-42.154000	45.604700
O2	-77.784500	-33.013700	53.027800
POO2	-77.222100	-13.922000	70.867900
PO4	-67.830900	-35.372900	79.248400
PO8	-64.791200	-51.535100	52.171300
PPO10h	-53.102200	-68.287000	35.189900
RSSCM	n/a	n/a	n/a
PPO6h	-54.348100	-52.351200	72.996600
PPO2h	-58.930900	-21.554600	99.096500
Pz	-48.320100	-3.448200	119.079100
P2	-45.171800	-32.444700	112.012500
P4	-46.086200	-52.112900	94.797100
P6	-42.271900	-67.554400	74.964000
P8	-41.619000	-71.993000	51.410300
TPP10h	-29.319900	-80.098000	30.467200
TPP8h	-30.593000	-77.527000	64.787100
CPP6h	-29.679300	-70.194000	89.874200
CPP4h	-31.853900	-49.350900	117.728300
CPP2h	-34.295800	-20.185200	128.095600
CP2	-19.353000	-33.596200	132.595900
CP4	-19.020000	-64.858200	108.785500
CP6	-16.300700	-79.931600	79.236100
TP8	-16.541700	-85.742400	40.677300
RSTrap	n/a	n/a	n/a
TTP8h	-1.561000	-89.736400	55.328000
CCP6h	-3.760500	-78.453400	95.352100
CCP4h	0.090500	-57.016500	123.245200
CCP2h	0.077800	-20.326200	141.078800
CWR-x	n/a	n/a	n/a
CWR-y	n/a	n/a	n/a
CWR-z	n/a	n/a	n/a
N-Fp1	n/a	n/a	n/a
N-AFp1	n/a	n/a	n/a
N-AFz	n/a	n/a	n/a
N-AF3	n/a	n/a	n/a
N-AF7	n/a	n/a	n/a
N-AFF5h	n/a	n/a	n/a
N-AFF1h	n/a	n/a	n/a
N-F1	n/a	n/a	n/a
N-F3	n/a	n/a	n/a
N-F5	n/a	n/a	n/a
N-F7	n/a	n/a	n/a
N-FFT7h	n/a	n/a	n/a
N-FFC5h	n/a	n/a	n/a
N-FFC3h	n/a	n/a	n/a
N-FFC1h	n/a	n/a	n/a
N-FCz	n/a	n/a	n/a
N-FC1	n/a	n/a	n/a
N-FC3	n/a	n/a	n/a
N-FC5	n/a	n/a	n/a
N-FT7	n/a	n/a	n/a
N-FTT7h	n/a	n/a	n/a
N-FCC5h	n/a	n/a	n/a
N-FCC3h	n/a	n/a	n/a
N-FCC1h	n/a	n/a	n/a
N-C1	n/a	n/a	n/a
N-C3	n/a	n/a	n/a
N-C5	n/a	n/a	n/a
N-TTP7h	n/a	n/a	n/a
N-CCP5h	n/a	n/a	n/a
N-CCP3h	n/a	n/a	n/a
N-CCP1h	n/a	n/a	n/a
N-CP1	n/a	n/a	n/a
N-CP3	n/a	n/a	n/a
N-CP5	n/a	n/a	n/a
N-TP7	n/a	n/a	n/a
N-TPP9h	n/a	n/a	n/a
N-TPP7h	n/a	n/a	n/a
N-CPP5h	n/a	n/a	n/a
N-CPP3h	n/a	n/a	n/a
N-CPP1h	n/a	n/a	n/a
N-P1	n/a	n/a	n/a
N-P3	n/a	n/a	n/a
N-P5	n/a	n/a	n/a
N-P7	n/a	n/a	n/a
N-PPO5h	n/a	n/a	n/a
N-PPO1h	n/a	n/a	n/a
N-POz	n/a	n/a	n/a
N-PO3	n/a	n/a	n/a
N-PO7	n/a	n/a	n/a
N-PPO9h	n/a	n/a	n/a
N-POO9h	n/a	n/a	n/a
N-O1	n/a	n/a	n/a
N-POO1	n/a	n/a	n/a
N-OI1h	n/a	n/a	n/a
N-Iz	n/a	n/a	n/a
NGY-x	n/a	n/a	n/a
NGY-y	n/a	n/a	n/a
NGY-z	n/a	n/a	n/a
N-Cz	n/a	n/a	n/a
N-C2	n/a	n/a	n/a
N-C4	n/a	n/a	n/a
N-C6	n/a	n/a	n/a
N-FTT8h	n/a	n/a	n/a
N-FCC6h	n/a	n/a	n/a
N-FCC4h	n/a	n/a	n/a
N-FCC2h	n/a	n/a	n/a
N-FC2	n/a	n/a	n/a
N-FC4	n/a	n/a	n/a
N-FC6	n/a	n/a	n/a
N-FT8	n/a	n/a	n/a
N-FFT8h	n/a	n/a	n/a
N-FFC6h	n/a	n/a	n/a
N-FFC4h	n/a	n/a	n/a
N-FFC2h	n/a	n/a	n/a
N-Fz	n/a	n/a	n/a
N-F2	n/a	n/a	n/a
N-F4	n/a	n/a	n/a
N-F6	n/a	n/a	n/a
N-F8	n/a	n/a	n/a
N-AFF6h	n/a	n/a	n/a
N-AFF2h	n/a	n/a	n/a
N-AF4	n/a	n/a	n/a
N-AF8	n/a	n/a	n/a
N-Fp2	n/a	n/a	n/a
N-AFp2	n/a	n/a	n/a
N-Oz	n/a	n/a	n/a
N-OI2h	n/a	n/a	n/a
N-POO10h	n/a	n/a	n/a
N-O2	n/a	n/a	n/a
N-POO2	n/a	n/a	n/a
N-PO4	n/a	n/a	n/a
N-PO8	n/a	n/a	n/a
N-PPO10h	n/a	n/a	n/a
N-PPO6h	n/a	n/a	n/a
N-PPO2h	n/a	n/a	n/a
N-Pz	n/a	n/a	n/a
N-P2	n/a	n/a	n/a
N-P4	n/a	n/a	n/a
N-P6	n/a	n/a	n/a
N-P8	n/a	n/a	n/a
N-TPP10h	n/a	n/a	n/a
N-TPP8h	n/a	n/a	n/a
N-CPP6h	n/a	n/a	n/a
N-CPP4h	n/a	n/a	n/a
